JUDETUL ALBA,2011,342376,10
MUNICIPIUL ALBA IULIA,2011,63536,1017
MUNICIPIUL AIUD,2011,22876,1213
MUNICIPIUL BLAJ,2011,20630,1348
MUNICIPIUL SEBES,2011,27019,1874
ORAS ABRUD,2011,5072,1151
ORAS BAIA DE ARIES,2011,3461,2915
ORAS CAMPENI,2011,7221,1455
ORAS CUGIR,2011,21376,1696
ORAS OCNA MURES,2011,13036,1794
ORAS TEIUS,2011,6695,8096
ORAS ZLATNA,2011,7490,1936
ALBAC,2011,2089,2130
ALMASU MARE,2011,1289,2309
ARIESENI,2011,1765,2381
AVRAM IANCU,2011,1636,2577
BERGHIN,2011,1893,2988
BISTRA,2011,4540,3039
BLANDIANA,2011,923,3397
BUCERDEA GRANOASA,2011,2235,9026
BUCIUM,2011,1454,3459
CALNIC,2011,1681,4106
CENADE,2011,943,3761
CERGAU,2011,1490,3805
CERU-BACAINTI,2011,269,3841
CETATEA DE BALTA,2011,2930,3958
CIUGUD,2011,3048,1071
CIURULEASA,2011,1197,4008
CRACIUNELU DE JOS,2011,1954,4188
CRICAU,2011,1912,4142
CUT,2011,1075,9019
DAIA ROMANA,2011,2773,4240
DOSTAT,2011,956,4268
FARAU,2011,1569,4302
GALDA DE JOS,2011,4516,4366
GARBOVA,2011,2050,4482
GARDA DE SUS,2011,1714,4525
HOPARTA,2011,1152,4703
HOREA,2011,2143,4767
IGHIU,2011,6283,4927
INTREGALDE,2011,577,4981
JIDVEI,2011,4617,5103
LIVEZILE,2011,1192,5167
LOPADEA NOUA,2011,2759,5210
LUNCA MURESULUI,2011,2404,5309
LUPSA,2011,3052,5336
METES,2011,2860,5577
MIHALT,2011,3051,5700
MIRASLAU,2011,1985,5755
MOGOS,2011,731,5826
NOSLAC,2011,1661,6048
OCOLIS,2011,616,6119
OHABA,2011,757,6164
PIANU,2011,3082,6217
POIANA VADULUI,2011,1139,6271
PONOR,2011,540,6397
POSAGA,2011,1048,6468
RADESTI,2011,1200,6547
RAMET,2011,574,6627
RAMETEA,2011,1126,6592
ROSIA DE SECAS,2011,1542,6930
ROSIA MONTANA,2011,2656,6761
SALCIUA,2011,1428,6976
SALISTEA,2011,2197,7044
SANCEL,2011,2411,7348
SANTIMBRU,2011,2723,7384
SASCIORI,2011,5757,7099
SCARISOARA,2011,1661,7197
SIBOT,2011,2236,7810
SOHODOL,2011,1729,7446
SONA,2011,4067,7865
SPRING,2011,2420,7945
STREMT,2011,2418,7767
SUGAG,2011,2726,8014
UNIREA,2011,4796,8158
VADU MOTILOR,2011,1348,8229
VALEA LUNGA,2011,2907,8354
VIDRA,2011,1691,8425
VINTU DE JOS,2011,4801,8826
JUDETUL ARAD,2011,430629,29
MUNICIPIUL ARAD,2011,159074,9262
ORAS CHISINEU-CRIS,2011,7987,9459
ORAS CURTICI,2011,7453,9495
ORAS INEU,2011,9260,9538
ORAS LIPOVA,2011,10313,9574
ORAS NADLAC,2011,7398,9627
ORAS PANCOTA,2011,6946,9654
ORAS PECICA,2011,12762,11584
ORAS SANTANA,2011,11428,12091
ORAS SEBIS,2011,5979,9690
ALMAS,2011,2532,9743
APATEU,2011,3176,9798
ARCHIS,2011,1515,9832
BARSA,2011,1791,10051
BARZAVA,2011,2707,10104
BATA,2011,1088,9887
BELIU,2011,3057,9930
BIRCHIS,2011,1854,10006
BOCSIG,2011,3231,10195
BRAZII,2011,1155,10239
BUTENI,2011,3403,10293
CARAND,2011,1036,10346
CERMEI,2011,2722,10373
CHISINDIA,2011,1340,10417
CONOP,2011,2258,10453
COVASINT,2011,2573,10514
CRAIVA,2011,2880,10532
DEZNA,2011,1198,10649
DIECI,2011,1490,10701
DOROBANTI,2011,1635,12912
FANTINELE,2011,3090,9280
FELNAC,2011,2931,10827
FRUMUSENI,2011,2543,12920
GHIOROC,2011,3790,10872
GRANICERI,2011,2254,10916
GURAHONT,2011,3973,10943
HALMAGEL,2011,1305,11174
HALMAGIU,2011,2852,11058
HASMAS,2011,1300,11236
IGNESTI,2011,679,11307
IRATOSU,2011,2395,11352
LIVADA,2011,2960,9333
MACEA,2011,5762,11398
MISCA,2011,3733,11423
MONEASA,2011,864,11478
OLARI,2011,1937,11502
PAULIS,2011,4120,11539
PEREGU MARE,2011,1625,11637
PETRIS,2011,1525,11664
PILU,2011,2060,11735
PLESCUTA,2011,1219,11762
SAGU,2011,3776,12144
SAVARSIN,2011,2890,11842
SECUSIGIU,2011,5509,11940
SEITIN,2011,2936,12206
SELEUS,2011,3044,11995
SEMLAC,2011,3667,12037
SEPREUS,2011,2481,12224
SICULA,2011,4301,12242
SILINDIA,2011,904,12288
SIMAND,2011,3982,12340
SINTEA MARE,2011,3742,12055
SIRIA,2011,8103,12368
SISTAROVAT,2011,358,12402
SOCODOR,2011,2367,12126
SOFRONEA,2011,2575,9360
TARNOVA,2011,5935,12509
TAUT,2011,1779,12457
USUSAU,2011,1392,10765
VARADIA DE MURES,2011,1755,12572
VARFURILE,2011,2715,12689
VINGA,2011,6150,12643
VLADIMIRESCU,2011,10710,9397
ZABRANI,2011,4251,12778
ZADARENI,2011,2495,12938
ZARAND,2011,2677,12812
ZERIND,2011,1320,12849
ZIMANDU NOU,2011,4657,12876
JUDETUL ARGES,2011,612431,38
MUNICIPIUL PITESTI,2011,155383,13169
MUNICIPIUL CAMPULUNG,2011,31767,13490
MUNICIPIUL CURTEA DE ARGES,2011,27359,13622
ORAS COSTESTI,2011,10375,13668
ORAS MIOVENI,2011,31998,13301
ORAS STEFANESTI,2011,14541,13392
ORAS TOPOLOVENI,2011,10219,13757
ALBESTII DE ARGES,2011,5456,13819
ALBESTII DE MUSCEL,2011,1578,13891
ALBOTA,2011,3842,13935
ANINOASA,2011,3299,13999
AREFU,2011,2405,14049
BABANA,2011,2820,14085
BAICULESTI,2011,5826,14165
BALILESTI,2011,4105,14272
BARLA,2011,5142,14450
BASCOV,2011,10218,13187
BELETI-NEGRESTI,2011,1941,14352
BEREVOESTI,2011,3372,14405
BOGATI,2011,4636,14584
BOTENI,2011,2495,14673
BOTESTI,2011,1207,14726
BRADU,2011,7130,13276
BRADULET,2011,1867,14753
BUDEASA,2011,4004,14851
BUGHEA DE JOS,2011,2862,14922
BUGHEA DE SUS,2011,2997,20063
BUZOESTI,2011,5975,14940
CALDARARU,2011,2562,15064
CALINESTI,2011,10872,15108
CATEASCA,2011,4006,15233
CEPARI,2011,2289,15313
CETATENI,2011,3057,15402
CICANESTI,2011,2107,15448
CIOFRANGENI,2011,2326,15493
CIOMAGESTI,2011,1172,15554
COCU,2011,2420,15652
CORBENI,2011,5384,15741
CORBI,2011,3784,15830
COSESTI,2011,5358,15901
COTMEANA,2011,2148,15983
CUCA,2011,2108,16132
DAMBOVICIOARA,2011,943,16329
DARMANESTI,2011,3513,16365
DAVIDESTI,2011,3111,16285
DOBRESTI,2011,1808,16427
DOMNESTI,2011,3201,16454
DRAGANU,2011,2026,16506
DRAGOSLAVELE,2011,2613,16472
GODENI,2011,3037,16551
HARSESTI,2011,2480,16613
HARTIESTI,2011,2165,16659
IZVORU,2011,2292,16739
LEORDENI,2011,5994,16757
LERESTI,2011,4632,16908
LUNCA CORBULUI,2011,2954,16944
MALURENI,2011,4825,17049
MARACINENI,2011,5193,13365
MERISANI,2011,4569,17101
MICESTI,2011,4388,17209
MIHAESTI,2011,5909,17254
MIOARELE,2011,1624,17334
MIROSI,2011,2544,17398
MORARESTI,2011,2105,17423
MOSOAIA,2011,5693,17496
MOZACENI,2011,2242,17575
MUSATESTI,2011,3870,17619
NEGRASI,2011,2387,17726
NUCSOARA,2011,1442,17771
OARJA,2011,2948,17824
PIETROSANI,2011,5702,17851
POIANA LACULUI,2011,6642,18028
POIENARII DE ARGES,2011,1117,17913
POIENARII DE MUSCEL,2011,3299,17968
POPESTI,2011,2191,18162
PRIBOIENI,2011,3549,18242
RACA,2011,1271,20048
RATESTI,2011,3166,18331
RECEA,2011,2992,18411
ROCIU,2011,2673,18475
RUCAR,2011,5752,18527
SALATRUCU,2011,2220,18554
SAPATA,2011,1782,18581
SCHITU GOLESTI,2011,4679,18670
SLOBOZIA,2011,4619,18741
STALPENI,2011,4868,18778
STEFAN CEL MARE,2011,2443,19114
STOENESTI,2011,4379,18858
STOLNICI,2011,3382,18938
SUICI,2011,2561,19141
SUSENI,2011,3467,19007
TEIU,2011,1594,19212
TIGVENI,2011,3444,19249
TITESTI,2011,4937,19338
UDA,2011,2174,19392
UNGHENI,2011,3187,19560
VALEA DANULUI,2011,2802,19631
VALEA IASULUI,2011,2533,19695
VALEA MARE PRAVAT,2011,4066,13524
VEDEA,2011,4041,19793
VLADESTI,2011,3092,19999
VULTURESTI,2011,2887,20055
JUDETUL BACAU,2011,616168,47
MUNICIPIUL BACAU,2011,144307,20297
MUNICIPIUL MOINESTI,2011,21787,20876
MUNICIPIUL ONESTI,2011,39172,20563
ORAS BUHUSI,2011,14562,20778
ORAS COMANESTI,2011,19568,20821
ORAS DARMANESTI,2011,12247,22166
ORAS SLANIC MOLDOVA,2011,4198,20910
ORAS TARGU OCNA,2011,11300,20965
AGAS,2011,5884,21007
ARDEOANI,2011,2182,21098
ASAU,2011,6698,21123
BALCANI,2011,7173,21196
BARSANESTI,2011,4527,21454
BERESTI-BISTRITA,2011,1983,21249
BERESTI-TAZLAU,2011,5342,21338
BERZUNTI,2011,4625,21418
BLAGESTI,2011,7080,21506
BOGDANESTI,2011,2550,21560
BRUSTUROASA,2011,3138,21597
BUCIUMI,2011,2984,26338
BUHOCI,2011,4119,21668
CAIUTI,2011,5252,21757
CASIN,2011,3387,21720
CLEJA,2011,6761,21855
COLONESTI,2011,2106,21891
CORBASCA,2011,4914,21971
COTOFANESTI,2011,3199,22059
DAMIENESTI,2011,1715,22111
DEALU MORII,2011,2739,22237
DOFTEANA,2011,9346,22380
FARAOANI,2011,3932,22460
FILIPENI,2011,2286,22488
FILIPESTI,2011,4346,22576
GAICEANA,2011,3069,22665
GARLENI,2011,5914,22781
GHIMES-FAGET,2011,5094,22718
GIOSENI,2011,3249,26346
GLAVANESTI,2011,3321,22834
GURA VAII,2011,4711,20607
HELEGIU,2011,6567,22898
HEMEIUS,2011,4755,20313
HORGESTI,2011,4583,22941
HURUIESTI,2011,2578,23047
ITESTI,2011,1598,26379
IZVORU BERHECIULUI,2011,1537,23127
LETEA VECHE,2011,5817,20359
LIPOVA,2011,2890,23207
LIVEZI,2011,5038,23289
LUIZI-CALUGARA,2011,3553,23350
MAGIRESTI,2011,3994,23387
MAGURA,2011,4151,20411
MANASTIREA CASIN,2011,4730,23449
MARGINENI,2011,7993,20466
MOTOSENI,2011,3505,23494
NEGRI,2011,2709,23644
NICOLAE BALCESCU,2011,7169,23715
ODOBESTI,2011,2397,26353
OITUZ,2011,8152,23797
ONCESTI,2011,1621,23868
ORBENI,2011,3760,23948
PALANCA,2011,3319,23975
PANCESTI,2011,3919,24187
PARAVA,2011,2681,24034
PARGARESTI,2011,4445,24276
PARINCEA,2011,3588,24089
PARJOL,2011,5525,24338
PLOPANA,2011,3059,24427
PODU TURCULUI,2011,4617,24524
PODURI,2011,6962,24631
PRAJESTI,2011,1869,26361
RACACIUNI,2011,7252,24766
RACHITOASA,2011,5080,24837
RACOVA,2011,3328,24711
ROSIORI,2011,2097,24999
SANDULENI,2011,3863,25148
SARATA,2011,1914,26320
SASCUT,2011,8564,25068
SAUCESTI,2011,4772,25228
SCORTENI,2011,2676,25291
SECUIENI,2011,2131,25362
SOLONT,2011,3298,25488
STANISESTI,2011,4514,25521
STEFAN CEL MARE,2011,4742,20670
STRUGARI,2011,2507,25629
TAMASI,2011,2738,25692
TARGU TROTUS,2011,4969,25825
TATARASTI,2011,2397,25745
TRAIAN,2011,2319,25861
UNGURENI,2011,3509,25932
URECHESTI,2011,3344,26029
VALEA SEACA,2011,3867,26083
VULTURENI,2011,2071,26118
ZEMES,2011,4368,26289
JUDETUL BIHOR,2011,575398,56
MUNICIPIUL ORADEA,2011,196367,26564
MUNICIPIUL BEIUS,2011,10667,26804
MUNICIPIUL MARGHITA,2011,15770,26877
MUNICIPIUL SALONTA,2011,17735,26975
ORAS ALESD,2011,10066,26699
ORAS NUCET,2011,2165,26920
ORAS SACUENI,2011,11526,30915
ORAS STEI,2011,6529,26840
ORAS VALEA LUI MIHAI,2011,9902,32027
ORAS VASCAU,2011,2315,27007
ABRAM,2011,2808,27070
ABRAMUT,2011,3071,27169
ASTILEU,2011,3561,26742
AUSEU,2011,3033,27212
AVRAM IANCU,2011,3316,27285
BALC,2011,3281,27329
BATAR,2011,4920,27383
BIHARIA,2011,4205,27436
BOIANU MARE,2011,1343,27506
BOROD,2011,3843,27560
BORS,2011,3946,27631
BRATCA,2011,5158,27686
BRUSTURI,2011,3469,27757
BUDUREASA,2011,2581,27846
BUDUSLAU,2011,1907,27908
BULZ,2011,2104,27935
BUNTESTI,2011,4253,27971
CABESTI,2011,1848,28077
CAMPANI,2011,2427,28709
CAPALNA,2011,1663,28139
CARPINET,2011,1932,28193
CEFA,2011,2272,28246
CEICA,2011,3591,28335
CETARIU,2011,2165,28415
CHERECHIU,2011,2416,28497
CHISLAZ,2011,3135,28530
CIUHOI,2011,2333,28610
CIUMEGHIU,2011,4297,28665
COCIUBA MARE,2011,2798,28763
