Judet;Localitate;Siruta;Total numar animale localitate;;;;Cate curti au un nr de bovine dintr-un interval;;;;Cate curti au un nr de ovine dintr-un interval;;;;Cate curti au un nr de caprine dintr-un interval;;;;Cate curti au un nr de porci dintr-un interval;;;
;;;bovine;ovine;caprine;porci;Intre 1 si 2;Intre 3 si 4;Intre 5 si 9;Peste 9;Intre 1 si 5;Intre 6 si 14;Intre 15 si 49;Peste 49;Intre 1 si 2;Intre 3 si 9;Intre 10 si 19;Peste 19;Intre 1 si 2;Intre 3 si 4;Intre 5 si 14;Peste 14
Alba;Abrud;1160;1184;466;395;272;89;70;60;31;7;7;6;3;7;10;1;2;5;5;5;8
Alba;Achimetesti;2595;21;0;0;17;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1
Alba;Acmariu;3413;78;89;43;45;22;12;1;0;1;1;4;0;6;0;0;1;6;3;3;0
Alba;Aiud;1222;1076;2634;600;226;13;12;6;20;0;4;2;12;0;0;0;7;3;2;5;5
Alba;Aiudul de Sus;1231;173;395;15;34;5;7;4;3;3;2;0;3;0;0;1;0;1;0;1;1
Alba;Alba Iulia;1026;376;1997;353;518;13;7;6;12;2;3;4;14;2;5;0;6;127;5;10;8
Alba;Albac;2149;298;0;33;331;27;35;21;1;0;0;0;0;0;0;3;0;5;11;29;3
Alba;Alecus;7883;15;2420;0;97;6;1;1;0;3;4;0;12;0;0;0;0;14;4;6;1
Alba;Almasu de Mijloc;2327;163;330;0;134;8;7;14;2;0;1;0;3;0;0;0;0;7;6;4;4
Alba;Almasu Mare;2318;531;3824;295;294;17;30;33;14;0;1;1;19;0;3;0;4;23;11;17;4
Alba;Ampoita;5595;171;2468;165;199;19;12;9;3;7;4;5;14;0;2;2;3;17;5;12;3
Alba;Anghelesti;3477;50;126;0;0;3;3;5;0;1;0;0;2;0;0;0;0;0;0;0;0
Alba;Arieseni;2390;19;0;0;15;7;2;0;0;0;0;0;0;0;0;0;0;3;1;1;0
Alba;Aronesti;3057;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Arti;8032;408;1391;0;89;3;8;13;22;0;1;1;9;0;0;0;0;2;4;9;0
Alba;Asinip;5238;63;692;0;17;5;1;2;3;1;5;1;4;0;0;0;0;0;0;0;1
Alba;Avram Iancu;2586;67;13;0;70;5;9;4;0;0;1;0;0;0;0;0;0;1;0;0;3
Alba;Avramesti;2407;37;0;0;22;1;4;4;0;0;0;0;0;0;0;0;0;1;2;2;0
Alba;Avramesti;2602;25;0;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Baba;4785;39;0;0;21;6;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0
Alba;Bacainti;7847;36;72;0;53;13;3;1;0;1;2;2;0;0;0;0;0;4;4;1;1
Alba;Badai;2611;34;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Bagau;5256;90;75;0;166;3;0;0;2;0;0;0;1;0;0;0;0;3;3;5;4
Alba;Baia de Aries;2924;388;129;10;317;23;22;27;9;0;2;1;1;2;1;0;0;5;3;5;7
Alba;Balcaciu;5121;572;4200;605;109;11;6;9;3;4;1;1;12;0;0;1;4;6;1;3;3
